size threads sequential_time parallel_time builtin_time
240 4 0.000028 0.003213 0.000102
760 2 0.000086 0.001001 0.000253
220 8 0.000024 0.009022 0.000085
60 2 0.000008 0.000836 0.000015
560 32 0.000053 0.034751 0.000171
860 4 0.000106 0.003477 0.000317
480 16 0.000052 0.020538 0.000169
940 16 0.000114 0.021323 0.000308
180 32 0.000018 0.036467 0.000085
680 2 0.000096 0.000502 0.000244
540 4 0.000066 0.002928 0.000206
660 4 0.000073 0.002258 0.000217
560 8 0.000061 0.008118 0.000190
720 16 0.000083 0.021459 0.000211
460 32 0.000051 0.033027 0.000163
960 2 0.000123 0.000634 0.000300
940 8 0.000097 0.009839 0.000299
140 4 0.000042 0.003658 0.000074
220 2 0.000027 0.001374 0.000096
780 8 0.000092 0.010557 0.000262
900 32 0.000094 0.042628 0.000290
700 8 0.000079 0.009824 0.000218
860 16 0.000096 0.024803 0.000283
420 4 0.000041 0.003501 0.000144
900 16 0.000103 0.024890 0.000308
520 8 0.000057 0.011195 0.000173
980 32 0.000114 0.048266 0.000322
240 32 0.000026 0.033940 0.000102
820 2 0.000116 0.001288 0.000289
340 2 0.000038 0.000797 0.000131
460 8 0.000046 0.010656 0.000151
360 16 0.000038 0.018276 0.000129
760 32 0.000082 0.033302 0.000248
240 16 0.000029 0.018250 0.000098
520 2 0.000064 0.001280 0.000205
980 16 0.000113 0.023991 0.000319
920 2 0.000117 0.000727 0.000294
140 8 0.000014 0.009391 0.000076
760 16 0.000085 0.020849 0.000251
260 2 0.000024 0.001230 0.000117
220 32 0.000043 0.038039 0.000084
280 16 0.000028 0.021747 0.000102
200 32 0.000019 0.035524 0.000075
800 32 0.000080 0.042521 0.000257
200 8 0.000022 0.009641 0.000106
420 16 0.000053 0.022182 0.000159
240 2 0.000029 0.001338 0.000101
320 16 0.000034 0.017832 0.000141
820 32 0.000096 0.038412 0.000260
860 32 0.000098 0.038334 0.000282
620 2 0.000085 0.001101 0.000228
460 16 0.000053 0.019079 0.000168
40 16 0.000003 0.011655 0.000007
60 8 0.000005 0.006675 0.000012
60 16 0.000006 0.011287 0.000012
800 8 0.000089 0.011111 0.000242
100 8 0.000009 0.009941 0.000020
640 8 0.000072 0.009381 0.000213
680 16 0.000077 0.023260 0.000225
160 32 0.000016 0.028870 0.000065
20 32 0.000003 0.009518 0.000004
160 4 0.000018 0.003727 0.000073
160 8 0.000017 0.008786 0.000070
740 16 0.000086 0.024259 0.000258
120 32 0.000012 0.026499 0.000025
540 32 0.000056 0.042924 0.000174
220 4 0.000023 0.003158 0.000092
740 8 0.000084 0.010379 0.000244
180 8 0.000019 0.010191 0.000089
640 4 0.000076 0.003623 0.000233
180 16 0.000019 0.021331 0.000084
480 32 0.000054 0.034459 0.000176
400 16 0.000045 0.020932 0.000140
500 32 0.000063 0.040633 0.000199
1000 8 0.000117 0.010798 0.000325
640 2 0.000096 0.001354 0.000227
160 16 0.000017 0.019009 0.000069
40 2 0.000004 0.000682 0.000008
