size threads sequential_time parallel_time builtin_time
320 16 0.000024 0.001480 0.000096
920 16 0.000074 0.001361 0.000289
680 4 0.000053 0.000340 0.000207
20 8 0.000002 0.000470 0.000003
940 32 0.000076 0.003333 0.000295
180 16 0.000013 0.001254 0.000060
980 32 0.000080 0.003456 0.000314
500 4 0.000034 0.000399 0.000114
380 8 0.000025 0.000698 0.000084
940 2 0.000077 0.000209 0.000297
240 4 0.000015 0.000319 0.000063
340 8 0.000026 0.000714 0.000099
840 8 0.000055 0.000746 0.000227
980 8 0.000079 0.000719 0.000320
380 2 0.000026 0.000179 0.000084
880 2 0.000063 0.000210 0.000271
560 4 0.000043 0.000346 0.000165
720 16 0.000057 0.003905 0.000219
260 16 0.000015 0.001370 0.000079
540 16 0.000042 0.003089 0.000164
880 32 0.000063 0.003806 0.000295
280 32 0.000020 0.002551 0.000087
40 2 0.000002 0.000154 0.000006
840 2 0.000055 0.000272 0.000228
140 4 0.000010 0.000382 0.000044
560 2 0.000043 0.000167 0.000164
480 32 0.000032 0.001925 0.000144
780 2 0.000058 0.000207 0.000212
140 16 0.000010 0.001216 0.000044
420 32 0.000032 0.002518 0.000129
100 8 0.000006 0.000656 0.000016
120 4 0.000008 0.000421 0.000026
540 8 0.000045 0.000682 0.000166
780 32 0.000069 0.004246 0.000283
600 32 0.000047 0.002634 0.000186
360 4 0.000025 0.000364 0.000109
880 32 0.000063 0.004958 0.000279
380 32 0.000026 0.003225 0.000088
600 16 0.000047 0.001438 0.000183
560 2 0.000044 0.000179 0.000168
620 16 0.000049 0.001365 0.000188
960 4 0.000073 0.000395 0.000265
920 32 0.000074 0.002443 0.000303
80 2 0.000006 0.000147 0.000015
200 4 0.000012 0.000335 0.000051
20 2 0.000002 0.000155 0.000003
1000 32 0.000081 0.003089 0.000322
980 2 0.000080 0.000264 0.000310
640 16 0.000051 0.002233 0.000196
440 16 0.000029 0.002164 0.000100
340 32 0.000025 0.002265 0.000103
800 16 0.000060 0.001456 0.000219
500 2 0.000034 0.000171 0.000114
320 2 0.000024 0.000169 0.000091
20 4 0.000002 0.000318 0.000003
500 4 0.000035 0.000348 0.000113
540 16 0.000043 0.001452 0.000164
500 16 0.000035 0.001499 0.000112
100 4 0.000007 0.000301 0.000016
680 4 0.000053 0.000370 0.000209
500 8 0.000034 0.000723 0.000112
100 16 0.000007 0.001130 0.000015
520 16 0.000040 0.001511 0.000159
420 8 0.000032 0.000748 0.000125
720 8 0.000057 0.000781 0.000219
820 4 0.000062 0.000355 0.000221
520 4 0.000040 0.000365 0.000155
920 8 0.000076 0.000748 0.000290
840 8 0.000055 0.000716 0.000224
460 2 0.000036 0.000177 0.000139
140 16 0.000009 0.001131 0.000045
80 32 0.000005 0.001424 0.000014
40 32 0.000003 0.001046 0.000006
960 16 0.000074 0.002522 0.000264
80 8 0.000005 0.000672 0.000014
200 2 0.000013 0.000157 0.000052
600 8 0.000047 0.000827 0.000180
260 8 0.000016 0.000762 0.000078
680 8 0.000054 0.000697 0.000211
960 8 0.000073 0.000772 0.000258
820 16 0.000061 0.002467 0.000220
260 16 0.000016 0.001304 0.000078
660 8 0.000053 0.000780 0.000203
240 4 0.000015 0.000387 0.000062
760 2 0.000057 0.000234 0.000232
220 8 0.000015 0.001391 0.000059
60 2 0.000004 0.000153 0.000010
560 32 0.000043 0.003248 0.000174
860 4 0.000072 0.000390 0.000266
480 16 0.000033 0.001330 0.000142
940 16 0.000076 0.001429 0.000297
180 32 0.000013 0.002018 0.000060
680 2 0.000054 0.000187 0.000208
540 4 0.000042 0.001584 0.000162
660 4 0.000051 0.000357 0.000198
560 8 0.000043 0.001737 0.000166
720 16 0.000058 0.001235 0.000226
460 32 0.000035 0.001909 0.000141
960 2 0.000073 0.000215 0.000262
940 8 0.000076 0.000691 0.000294
140 4 0.000009 0.000371 0.000045
220 2 0.000014 0.000157 0.000058
780 8 0.000059 0.000624 0.000208
900 32 0.000072 0.003456 0.000209
700 8 0.000052 0.000755 0.000191
860 16 0.000070 0.001687 0.000269
420 4 0.000032 0.000360 0.000124
900 16 0.000068 0.002945 0.000206
520 8 0.000039 0.000836 0.000156
980 32 0.000080 0.003549 0.000310
240 32 0.000015 0.004893 0.000066
820 2 0.000094 0.000316 0.000332
340 2 0.000039 0.000239 0.000146
460 8 0.000035 0.000738 0.000136
360 16 0.000026 0.001005 0.000124
760 32 0.000057 0.003369 0.000236
240 16 0.000016 0.001381 0.000069
520 2 0.000040 0.000184 0.000157
980 16 0.000081 0.001409 0.000310
920 2 0.000075 0.000207 0.000289
140 8 0.000009 0.000662 0.000043
760 16 0.000057 0.001303 0.000232
260 2 0.000016 0.000148 0.000078
220 32 0.000014 0.002412 0.000057
280 16 0.000020 0.001390 0.000077
200 32 0.000013 0.002100 0.000050
800 32 0.000061 0.002649 0.000224
200 8 0.000012 0.000730 0.000053
420 16 0.000032 0.001348 0.000125
240 2 0.000015 0.000209 0.000067
320 16 0.000028 0.001250 0.000095
820 32 0.000063 0.002296 0.000219
860 32 0.000070 0.004207 0.000276
620 2 0.000048 0.000208 0.000187
460 16 0.000035 0.001209 0.000136
40 16 0.000003 0.000754 0.000006
60 8 0.000004 0.000562 0.000010
60 16 0.000004 0.001207 0.000010
800 8 0.000061 0.000782 0.000241
100 8 0.000007 0.000634 0.000016
640 8 0.000051 0.000763 0.000195
680 16 0.000054 0.001318 0.000209
160 32 0.000012 0.002298 0.000047
20 32 0.000002 0.000886 0.000003
160 4 0.000012 0.000378 0.000049
160 8 0.000012 0.000751 0.000043
740 16 0.000052 0.001838 0.000227
120 32 0.000009 0.003153 0.000026
540 32 0.000042 0.002678 0.000170
220 4 0.000014 0.000324 0.000062
740 8 0.000052 0.000700 0.000243
180 8 0.000013 0.000813 0.000056
640 4 0.000051 0.000365 0.000193
180 16 0.000013 0.002790 0.000056
480 32 0.000033 0.002954 0.000146
400 16 0.000030 0.001252 0.000108
500 32 0.000034 0.002544 0.000123
1000 8 0.000082 0.000838 0.000315
640 2 0.000050 0.000200 0.000194
